,Importance
C6H6(GT),0.18482144968921
NOx(GT),0.15900791595844554
PT08.S2(NMHC),0.1446586847204696
PT08.S1(CO),0.11706527459557879
PT08.S5(O3),0.10411318014118601
NO2(GT),0.08219143407651142
PT08.S3(NOx),0.0679481408564345
PT08.S4(NO2),0.04570221819550785
Hour,0.02445855267923564
AH,0.020501769185188364
T,0.019928172649425438
RH,0.015593762667586351
Month,0.0077555966911222384
DayOfWeek,0.00625384789409815
