K,Inertia,Silhouette_Score
2,46222.74899650509,0.3053946999167698
3,36112.63012652893,0.25302520977425674
4,31187.13694779722,0.23091048845616746
5,27881.129396033204,0.23097919305911138
6,25118.003019867072,0.22307719299359155
7,23053.54348062944,0.22451182549080936
8,21629.19019037817,0.21232321160251905
