Model,MAE,RMSE,R2
Random Forest,0.28470451344720443,0.45778593070374873,0.9038320869759501
Linear Regression,0.39972002790707556,0.5989121709200337,0.8353993346129374
Ridge Regression,0.39970605019562466,0.5989692303780307,0.8353679695059761
